date,tem_avg,tem_h,tem_l,alws,mslap,rh,Herpangina,HFMD
01.01.2015,8.7375,9.0,8.4,746.7,771.4,85,34,52
02.01.2015,8.85,9.4,8.6,746.3,771.0,89,10,22
03.01.2015,9.2125,11.9,7.2,739.3,763.7,85,19,52
04.01.2015,9.425,10.2,8.8,734.9,759.2,88,26,28
05.01.2015,8.8875,9.7,8.2,741.4,766.0,97,21,32
06.01.2015,8.5875,11.0,7.0,745.4,770.3,88,22,36
07.01.2015,9.1875,12.5,6.0,747.9,772.6,72,23,32
08.01.2015,8.3625,8.9,8.0,749.7,774.6,89,21,27
09.01.2015,8.775,10.0,8.0,748.6,773.5,93,23,30
10.01.2015,9.45,12.2,7.3,747.0,771.7,73,29,31
11.01.2015,10.375,13.8,8.1,747.6,772.3,72,13,48
12.01.2015,10.225,14.8,6.6,746.1,770.8,80,22,34
13.01.2015,9.875,15.7,5.5,744.8,769.4,70,29,38
14.01.2015,9.85,11.4,8.5,745.0,769.6,83,20,38
15.01.2015,10.225,12.0,8.7,746.4,771.0,75,14,33
16.01.2015,10.9125,12.6,9.9,746.6,771.2,78,15,31
17.01.2015,10.6625,11.3,9.8,746.7,771.2,72,10,22
18.01.2015,11.0375,13.0,9.0,748.4,773.0,79,11,26
19.01.2015,10.1875,11.5,9.0,742.2,766.6,77,24,26
20.01.2015,11.1,14.7,8.2,745.8,770.4,79,14,31
21.01.2015,11.5625,16.9,7.1,742.1,766.5,69,23,47
22.01.2015,11.625,17.1,6.6,739.0,763.2,73,25,30
23.01.2015,13.6125,16.9,11.1,732.9,756.7,61,25,28
24.01.2015,12.9875,13.8,11.7,740.0,764.3,82,14,19
25.01.2015,12.2125,14.6,11.0,741.3,765.6,80,17,23
26.01.2015,12.4625,13.2,11.7,740.3,764.5,86,30,26
27.01.2015,11.5875,12.5,10.8,737.4,761.7,95,28,21
28.01.2015,9.675,10.6,8.4,740.4,765.0,89,20,30
29.01.2015,5.9375,7.4,5.1,746.6,771.7,97,21,18
30.01.2015,6.3,7.0,5.2,747.3,772.3,69,13,22
31.01.2015,6.6,7.2,5.8,748.2,773.2,64,16,30
01.02.2015,7.4875,10.4,5.6,746.2,771.0,69,12,18
02.02.2015,8.6625,10.7,6.9,747.3,772.0,66,13,27
03.02.2015,9.2375,11.0,7.7,749.3,774.1,72,13,20
04.02.2015,8.8375,10.2,8.0,748.9,773.8,78,13,18
05.02.2015,8.3375,9.8,7.0,748.1,773.0,80,5,14
06.02.2015,8.0,11.3,3.5,743.4,767.9,61,14,19
07.02.2015,9.9125,11.7,8.7,748.9,773.7,81,9,15
08.02.2015,7.675,8.7,6.5,745.6,770.3,77,8,12
09.02.2015,9.15,10.7,8.0,745.2,769.9,65,12,8
10.02.2015,9.2125,10.9,8.0,743.9,768.6,76,13,9
11.02.2015,10.375,15.9,5.7,742.2,766.7,72,10,13
12.02.2015,11.1375,17.8,5.8,738.4,762.7,74,11,13
13.02.2015,12.1125,15.3,9.5,735.9,760.0,71,7,11
14.02.2015,14.2125,18.0,11.6,734.3,758.2,69,14,10
15.02.2015,15.2625,19.3,11.8,741.3,765.4,71,16,9
16.02.2015,13.7375,15.6,12.2,740.7,764.9,86,8,8
17.02.2015,14.4625,19.8,10.8,736.1,760.0,73,2,10
